Year-Month,Debit Balances in Customers' Securities Margin Accounts,Note: in millions
2002-06,"153,972",
2002-05,"157,802",
2002-04,"159,072",
2002-03,"160,089",
2002-02,"154,931",
2002-01,"160,906",
2001-12,"160,473",
2001-11,"159,440",
2001-10,"152,367",
2001-09,"157,931",
2001-08,"169,316",
2001-07,"173,680",
2001-06,"179,585",
2001-05,"183,041",
2001-04,"176,096",
2001-03,"174,797",
2001-02,"198,887",
2001-01,"208,687",
2000-12,"210,385",
2000-11,"237,913",
2000-10,"250,965",
2000-09,"270,208",
2000-08,"265,166",
2000-07,"263,729",
2000-06,"264,471",
2000-05,"256,862",
2000-04,"268,716",
2000-03,"299,933",
2000-02,"284,206",
2000-01,"260,409",
1999-12,"241,967",
1999-11,"218,304",
1999-10,"194,259",
1999-09,"189,741",
1999-08,"187,616",
1999-07,"189,503",
1999-06,"187,695",
1999-05,"189,950",
1999-04,"184,329",
1999-03,"166,212",
1999-02,"162,909",
1999-01,"162,322",
1998-12,"148,674",
1998-11,"148,697",
1998-10,"138,399",
1998-09,"144,541",
1998-08,"155,879",
1998-07,"160,980",
1998-06,"154,357",
1998-05,"150,293",
1998-04,"146,589",
1998-03,"146,536",
1998-02,"141,328",
1998-01,"132,912",
1997-12,"131,560",
1997-11,"132,741",
1997-10,"134,491",
1997-09,"131,962",
1997-08,"124,404",
1997-07,"121,090",
1997-06,"118,843",
1997-05,"111,097",
1997-04,"102,842",
1997-03,"104,835",
1997-02,"103,886",
1997-01,"103,337",
