date,value
2023-07-01,163.7397
2023-08-01,160.2501
2023-09-01,152.4094
2023-10-01,146.3422
2023-11-01,159.7721
2023-12-01,168.1194
2024-01-01,168.1589
2024-02-01,177.0294
2024-03-01,182.5365
2024-04-01,171.7313
2024-05-01,179.6214
2024-06-01,184.9782
2024-07-01,185.9016
2024-08-01,189.6211
2024-09-01,193.3012
2024-10-01,189.7566
2024-11-01,202.1346
2024-12-01,195.8052
2025-01-01,200.1990
2025-02-01,196.1879
2025-03-01,184.3243
2025-04-01,180.2471
2025-05-01,191.5431
2025-06-01,201.1089
2025-07-01,201.5028
2025-08-01,205.8379
2025-09-01,212.7005
2025-10-01,214.9866
2025-11-01,215.0800
2025-12-01,214.8188
2026-01-01,215.0285
2026-02-01,213.6240
2026-03-01,202.8256
2026-04-01,223.8398
2026-05-01,223.6878
